timestamp,date (UTC),unit id,sensor type,measurement type,data key,value
1609517117802,01.01.2021 16:05:17:802,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517123272,01.01.2021 16:05:23:272,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517127713,01.01.2021 16:05:27:713,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517133213,01.01.2021 16:05:33:213,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517137652,01.01.2021 16:05:37:652,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517143473,01.01.2021 16:05:43:473,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517147962,01.01.2021 16:05:47:962,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517153463,01.01.2021 16:05:53:463,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517157964,01.01.2021 16:05:57:964,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,402.0
1609517163463,01.01.2021 16:06:03:463,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517167962,01.01.2021 16:06:07:962,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517173264,01.01.2021 16:06:13:264,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517177953,01.01.2021 16:06:17:953,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517183452,01.01.2021 16:06:23:452,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,402.0
1609517187832,01.01.2021 16:06:27:832,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517193453,01.01.2021 16:06:33:453,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517197953,01.01.2021 16:06:37:953,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517203442,01.01.2021 16:06:43:442,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517207942,01.01.2021 16:06:47:942,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517213443,01.01.2021 16:06:53:443,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517217932,01.01.2021 16:06:57:932,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517223462,01.01.2021 16:07:03:462,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517227945,01.01.2021 16:07:07:945,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517233472,01.01.2021 16:07:13:472,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517237933,01.01.2021 16:07:17:933,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517243462,01.01.2021 16:07:23:462,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517247923,01.01.2021 16:07:27:923,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517253452,01.01.2021 16:07:33:452,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517257922,01.01.2021 16:07:37:922,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517263473,01.01.2021 16:07:43:473,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517267792,01.01.2021 16:07:47:792,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517273496,01.01.2021 16:07:53:496,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517277912,01.01.2021 16:07:57:912,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517283432,01.01.2021 16:08:03:432,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517287912,01.01.2021 16:08:07:912,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517293432,01.01.2021 16:08:13:432,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517297902,01.01.2021 16:08:17:902,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,403.0
1609517303432,01.01.2021 16:08:23:432,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,403.0
1609517307922,01.01.2021 16:08:27:922,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517313432,01.01.2021 16:08:33:432,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517317903,01.01.2021 16:08:37:903,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517323432,01.01.2021 16:08:43:432,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517327893,01.01.2021 16:08:47:893,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,405.0
1609517333422,01.01.2021 16:08:53:422,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,410.0
1609517337902,01.01.2021 16:08:57:902,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,410.0
1609517343442,01.01.2021 16:09:03:442,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,409.0
1609517347922,01.01.2021 16:09:07:922,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517353462,01.01.2021 16:09:13:462,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,404.0
1609517357894,01.01.2021 16:09:17:894,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517363444,01.01.2021 16:09:23:444,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517367883,01.01.2021 16:09:27:883,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517373492,01.01.2021 16:09:33:492,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517377882,01.01.2021 16:09:37:882,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517383442,01.01.2021 16:09:43:442,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517387884,01.01.2021 16:09:47:884,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
